slice_region,region_id,region_area
0-0,blood_252,1081.5
0-1,blood_256,2687.0
0-2,blood_257,862.5
0-3,blood_258,573.5
0-4,blood_263,242.0
0-5,blood_264,513.5
0-6,blood_265,82.0
0-7,blood_266,3636.5
0-8,blood_267,781.5
0-9,blood_268,377.5
0-10,blood_269,3626.0
0-11,blood_270,771.5
0-12,blood_271,196.0
0-13,blood_272,597.5
0-14,blood_273,755.0
0-15,blood_274,901.0
0-16,blood_275,1344.5
0-17,blood_276,924.0
0-18,blood_277,5648.0
0-19,blood_278,1239.5
0-20,blood_279,1737.5
0-21,blood_280,950.0
0-22,blood_281,1432.0
0-23,blood_282,2020.5
0-24,blood_283,427.0
0-25,blood_284,743.5
0-26,blood_285,798.5
0-27,blood_286,2442.0
0-28,blood_287,193.0
0-29,blood_288,2697.5
0-30,blood_289,524.0
0-31,blood_290,176.5
0-32,blood_291,4982.5
0-33,blood_292,288.5
0-34,blood_293,209.0
1-0,blood_454,6124.0
1-1,blood_482,482.5
1-2,blood_487,1820.5
1-3,blood_488,532.0
1-4,blood_495,529.0
1-5,blood_496,729.0
1-6,blood_498,523.0
1-7,blood_500,278.0
1-8,blood_501,1310.5
1-9,blood_506,384.5
1-10,blood_507,2609.5
1-11,blood_510,828.0
1-12,blood_512,1145.0
1-13,blood_515,3228.0
1-14,blood_517,1145.0
1-15,blood_523,971.0
1-16,blood_524,683.0
1-17,blood_526,698.0
1-18,blood_527,2022.5
1-19,blood_531,1279.0
1-20,blood_535,829.5
1-21,blood_536,541.5
1-22,blood_541,579.5
1-23,blood_544,357.0
1-24,blood_548,425.5
1-25,blood_554,2301.5
1-26,blood_564,353.5
1-27,blood_567,369.5
1-28,blood_571,285.0
1-29,blood_573,3138.0
1-30,blood_574,651.0
1-31,blood_577,187.0
1-32,blood_578,273.5
1-33,blood_579,141.0
1-34,blood_580,654.0
2-0,blood_703,551.0
2-1,blood_704,589.0
2-2,blood_709,1476.5
2-3,blood_711,248.5
2-4,blood_715,362.0
2-5,blood_717,919.0
2-6,blood_718,2402.5
2-7,blood_728,2127.5
2-8,blood_732,583.5
2-9,blood_737,595.0
2-10,blood_739,1240.5
2-11,blood_748,137.0
2-12,blood_749,161.5
2-13,blood_760,2206.5
2-14,blood_766,787.0
2-15,blood_768,474.5
2-16,blood_778,449.0
2-17,blood_780,2209.0
2-18,blood_784,146.5
2-19,blood_786,2168.0
2-20,blood_789,491.5
2-21,blood_790,323.5
2-22,blood_792,196.0
2-23,blood_794,467.5
2-24,blood_796,1420.0
2-25,blood_797,525.5
2-26,blood_798,3803.0
2-27,blood_799,565.5
2-28,blood_800,749.5
2-29,blood_801,498.5
2-30,blood_803,1107.0
2-31,blood_804,1916.0
2-32,blood_805,431.5
2-33,blood_813,819.0
2-34,blood_820,673.5
2-35,blood_821,490.5
2-36,blood_824,664.0
2-37,blood_830,383.0
2-38,blood_833,381.0
2-39,blood_834,818.0
2-40,blood_835,326.0
2-41,blood_846,1020.0
2-42,blood_849,5915.0
2-43,blood_850,221.0
2-44,blood_852,3164.0
2-45,blood_855,266.5
2-46,blood_857,932.5
2-47,blood_858,534.0
2-48,blood_859,728.5
2-49,blood_860,710.5
2-50,blood_861,305.5
2-51,blood_862,1605.0
2-52,blood_863,982.0
3-0,blood_976,1237.0
3-1,blood_980,16038.0
3-2,blood_981,81.5
3-3,blood_983,401.5
3-4,blood_993,313.5
3-5,blood_1007,364.0
3-6,blood_1010,852.5
3-7,blood_1011,461.5
3-8,blood_1014,747.0
3-9,blood_1015,3815.0
3-10,blood_1024,283.0
3-11,blood_1025,317.0
3-12,blood_1026,267.5
3-13,blood_1028,2401.0
3-14,blood_1029,1051.0
3-15,blood_1033,1160.0
3-16,blood_1038,2086.0
3-17,blood_1039,270.5
3-18,blood_1060,946.0
3-19,blood_1061,828.5
3-20,blood_1071,381.0
3-21,blood_1074,280.5
3-22,blood_1075,943.0
3-23,blood_1076,691.0
3-24,blood_1080,733.5
3-25,blood_1081,2310.5
3-26,blood_1089,644.5
3-27,blood_1091,730.0
3-28,blood_1092,637.5
3-29,blood_1096,1148.5
3-30,blood_1098,1473.0
3-31,blood_1104,379.0
3-32,blood_1106,735.5
3-33,blood_1107,759.5
3-34,blood_1110,784.5
3-35,blood_1111,774.0
3-36,blood_1113,323.0
3-37,blood_1116,1930.5
3-38,blood_1124,209.0
3-39,blood_1128,666.5
3-40,blood_1129,661.5
3-41,blood_1131,2217.0
3-42,blood_1132,1758.0
3-43,blood_1142,325.0
3-44,blood_1149,934.5
3-45,blood_1150,403.0
3-46,blood_1155,386.0
3-47,blood_1157,389.0
3-48,blood_1159,543.5
3-49,blood_1168,270.5
3-50,blood_1171,3241.5
3-51,blood_1174,557.5
3-52,blood_1175,146.0
3-53,blood_1177,919.0
3-54,blood_1178,578.5
3-55,blood_1180,1741.5
3-56,blood_1181,2550.0
3-57,blood_1183,1395.0
3-58,blood_1184,3131.5
3-59,blood_1185,715.0
3-60,blood_1186,596.0
3-61,blood_1187,99.5
3-62,blood_1188,588.0
3-63,blood_1189,800.0
3-64,blood_1190,1071.0
4-0,blood_1237,858.0
4-1,blood_1238,19863.0
4-2,blood_1248,244.0
4-3,blood_1250,1519.5
4-4,blood_1251,447.0
4-5,blood_1252,97.0
4-6,blood_1254,410.5
4-7,blood_1256,5195.0
4-8,blood_1257,8420.5
4-9,blood_1261,644.5
4-10,blood_1262,200.0
4-11,blood_1264,485.5
4-12,blood_1268,129.0
4-13,blood_1273,1780.0
4-14,blood_1276,377.5
4-15,blood_1277,687.5
4-16,blood_1284,478.5
4-17,blood_1289,6238.5
4-18,blood_1290,439.0
4-19,blood_1293,510.0
4-20,blood_1294,455.5
4-21,blood_1297,1096.0
4-22,blood_1299,302.5
4-23,blood_1301,548.0
4-24,blood_1304,389.5
4-25,blood_1305,540.0
4-26,blood_1307,557.5
4-27,blood_1309,875.5
4-28,blood_1314,387.0
4-29,blood_1317,621.0
4-30,blood_1320,324.0
4-31,blood_1323,849.0
4-32,blood_1327,263.5
4-33,blood_1328,556.0
4-34,blood_1334,503.0
4-35,blood_1335,525.5
4-36,blood_1342,408.5
4-37,blood_1345,5647.0
4-38,blood_1346,833.0
4-39,blood_1347,563.5
4-40,blood_1352,299.0
4-41,blood_1353,1270.5
4-42,blood_1357,386.5
4-43,blood_1369,3172.0
4-44,blood_1370,287.0
4-45,blood_1373,448.5
4-46,blood_1376,2075.0
4-47,blood_1382,70.5
4-48,blood_1383,369.0
4-49,blood_1386,514.5
4-50,blood_1387,334.0
4-51,blood_1391,145.5
4-52,blood_1393,340.0
4-53,blood_1396,1518.0
4-54,blood_1403,484.5
4-55,blood_1409,524.0
4-56,blood_1411,921.0
4-57,blood_1413,156.0
4-58,blood_1415,479.0
4-59,blood_1417,309.0
4-60,blood_1420,882.5
4-61,blood_1422,726.0
4-62,blood_1426,693.5
4-63,blood_1431,1051.5
4-64,blood_1432,645.5
4-65,blood_1435,680.5
4-66,blood_1438,5703.5
5-0,blood_14,2273.5
5-1,blood_15,255.0
5-2,blood_29,491.5
5-3,blood_42,172.5
5-4,blood_43,488.5
5-5,blood_46,233.5
5-6,blood_48,1042.5
5-7,blood_54,2374.5
5-8,blood_56,3406.0
5-9,blood_59,340.5
5-10,blood_64,81.5
5-11,blood_67,499.0
5-12,blood_76,80.5
5-13,blood_78,425.5
5-14,blood_90,3301.5
5-15,blood_95,4807.0
5-16,blood_96,152.0
5-17,blood_125,1268.0
5-18,blood_130,4341.0
5-19,blood_132,919.0
5-20,blood_136,621.0
5-21,blood_139,2154.5
5-22,blood_140,730.5
5-23,blood_146,746.5
5-24,blood_160,313.5
5-25,blood_161,795.5
5-26,blood_162,750.5
5-27,blood_163,637.0
5-28,blood_174,1110.0
5-29,blood_176,460.0
5-30,blood_187,579.0
5-31,blood_188,650.5
5-32,blood_189,2349.0
5-33,blood_192,2662.5
5-34,blood_195,802.0
5-35,blood_203,1265.0
5-36,blood_204,715.5
5-37,blood_206,2849.5
5-38,blood_208,947.5
5-39,blood_210,1119.0
5-40,blood_211,378.0
5-41,blood_212,1458.5
5-42,blood_214,699.5
5-43,blood_216,516.5
5-44,blood_217,909.5
5-45,blood_218,509.0
5-46,blood_221,6025.5
5-47,blood_222,341.0
5-48,blood_226,150.0
5-49,blood_227,410.5
5-50,blood_228,270.0
5-51,blood_231,3340.5
5-52,blood_236,361.0
5-53,blood_238,553.5
5-54,blood_242,396.5
5-55,blood_243,172.0
5-56,blood_244,490.0
5-57,blood_246,238.0
5-58,blood_247,1006.5
5-59,blood_248,1359.5
5-60,blood_249,94.0
5-61,blood_251,634.5
5-62,blood_254,1986.0
5-63,blood_255,993.5
5-64,blood_260,802.5
5-65,blood_261,445.0
5-66,blood_262,1415.5
6-0,blood_326,4178.5
6-1,blood_336,197.0
6-2,blood_346,464.0
6-3,blood_351,3347.5
6-4,blood_358,5977.0
6-5,blood_362,1098.5
6-6,blood_364,243.0
6-7,blood_365,2673.5
6-8,blood_368,255.5
6-9,blood_370,265.0
6-10,blood_379,5247.0
6-11,blood_387,1271.5
6-12,blood_388,1592.5
6-13,blood_392,733.0
6-14,blood_393,160.5
6-15,blood_397,637.0
6-16,blood_398,98.0
6-17,blood_399,211.5
6-18,blood_400,3491.5
6-19,blood_401,723.5
6-20,blood_402,228.0
6-21,blood_403,148.0
6-22,blood_406,998.0
6-23,blood_407,200.0
6-24,blood_408,3641.0
6-25,blood_409,817.0
6-26,blood_411,156.5
6-27,blood_412,560.5
6-28,blood_416,299.0
6-29,blood_417,94.0
6-30,blood_418,591.0
6-31,blood_419,904.0
6-32,blood_420,746.0
6-33,blood_423,971.5
6-34,blood_425,385.5
6-35,blood_428,574.0
6-36,blood_430,450.0
6-37,blood_433,480.5
6-38,blood_434,624.0
6-39,blood_436,298.0
6-40,blood_437,284.5
6-41,blood_438,351.0
6-42,blood_439,4034.0
6-43,blood_441,960.0
6-44,blood_442,162.0
6-45,blood_443,503.0
6-46,blood_444,1380.0
6-47,blood_445,1631.0
6-48,blood_446,115.5
6-49,blood_447,131.0
6-50,blood_448,1185.5
6-51,blood_449,1312.5
6-52,blood_450,304.5
